goos: linux
goarch: amd64
pkg: github.com/33TU/json-experiment
cpu: 13th Gen Intel(R) Core(TM) i9-13900H
BenchmarkMarshalMapInt/marshal_append-20         	 5963665	       201.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapInt/marshal_append-20         	 6027758	       197.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapInt/marshal_append-20         	 6069619	       196.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapInt/marshal_append-20         	 6104548	       196.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapInt/marshal_append-20         	 6103730	       196.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapInt/marshal-20                	 3177780	       395.4 ns/op	     144 B/op	       1 allocs/op
BenchmarkMarshalMapInt/marshal-20                	 3814617	       335.2 ns/op	     144 B/op	       1 allocs/op
BenchmarkMarshalMapInt/marshal-20                	 3278522	       357.8 ns/op	     144 B/op	       1 allocs/op
BenchmarkMarshalMapInt/marshal-20                	 3432943	       365.6 ns/op	     144 B/op	       1 allocs/op
BenchmarkMarshalMapInt/marshal-20                	 3797365	       372.9 ns/op	     144 B/op	       1 allocs/op
BenchmarkMarshalMapInt/encoding_json-20          	  836476	      1621 ns/op	     600 B/op	      16 allocs/op
BenchmarkMarshalMapInt/encoding_json-20          	  916749	      1593 ns/op	     600 B/op	      16 allocs/op
BenchmarkMarshalMapInt/encoding_json-20          	  839697	      1501 ns/op	     600 B/op	      16 allocs/op
BenchmarkMarshalMapInt/encoding_json-20          	  763616	      1468 ns/op	     600 B/op	      16 allocs/op
BenchmarkMarshalMapInt/encoding_json-20          	  788143	      1430 ns/op	     600 B/op	      16 allocs/op
BenchmarkMarshalMapInt/sonic_json-20             	 2103477	       568.7 ns/op	     261 B/op	       3 allocs/op
BenchmarkMarshalMapInt/sonic_json-20             	 2188651	       484.5 ns/op	     261 B/op	       3 allocs/op
BenchmarkMarshalMapInt/sonic_json-20             	 2542689	       515.0 ns/op	     260 B/op	       3 allocs/op
BenchmarkMarshalMapInt/sonic_json-20             	 2114410	       599.9 ns/op	     261 B/op	       3 allocs/op
BenchmarkMarshalMapInt/sonic_json-20             	 1788388	       602.2 ns/op	     261 B/op	       3 allocs/op
BenchmarkMarshalMapInt/sonic_encode_into-20      	 3169026	       364.5 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapInt/sonic_encode_into-20      	 2957114	       385.8 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapInt/sonic_encode_into-20      	 3423819	       351.4 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapInt/sonic_encode_into-20      	 3613786	       377.3 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapInt/sonic_encode_into-20      	 3463406	       368.6 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapIntSlice/marshal_append-20    	 5017303	       238.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapIntSlice/marshal_append-20    	 4913605	       239.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapIntSlice/marshal_append-20    	 4943378	       241.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapIntSlice/marshal_append-20    	 4977872	       241.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapIntSlice/marshal_append-20    	 4826206	       242.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapIntSlice/marshal-20           	 2600905	       454.1 ns/op	     160 B/op	       1 allocs/op
BenchmarkMarshalMapIntSlice/marshal-20           	 2713306	       435.1 ns/op	     160 B/op	       1 allocs/op
BenchmarkMarshalMapIntSlice/marshal-20           	 2876158	       423.4 ns/op	     160 B/op	       1 allocs/op
BenchmarkMarshalMapIntSlice/marshal-20           	 2926383	       415.0 ns/op	     160 B/op	       1 allocs/op
BenchmarkMarshalMapIntSlice/marshal-20           	 3007926	       423.2 ns/op	     160 B/op	       1 allocs/op
BenchmarkMarshalMapIntSlice/encoding_json-20     	  738861	      1450 ns/op	     640 B/op	      14 allocs/op
BenchmarkMarshalMapIntSlice/encoding_json-20     	  748288	      1464 ns/op	     640 B/op	      14 allocs/op
BenchmarkMarshalMapIntSlice/encoding_json-20     	 1000000	      1393 ns/op	     640 B/op	      14 allocs/op
BenchmarkMarshalMapIntSlice/encoding_json-20     	  737608	      1513 ns/op	     640 B/op	      14 allocs/op
BenchmarkMarshalMapIntSlice/encoding_json-20     	  809263	      1596 ns/op	     640 B/op	      14 allocs/op
