goos: linux
goarch: amd64
pkg: github.com/33TU/json-experiment
cpu: 13th Gen Intel(R) Core(TM) i9-13900H
BenchmarkMarshalMapAny/marshal-20                	 2327701	       529.0 ns/op	     160 B/op	       1 allocs/op
BenchmarkMarshalMapAny/marshal-20                	 2284472	       533.0 ns/op	     160 B/op	       1 allocs/op
BenchmarkMarshalMapAny/marshal-20                	 2330124	       523.6 ns/op	     160 B/op	       1 allocs/op
BenchmarkMarshalMapAny/marshal-20                	 2001541	       586.2 ns/op	     160 B/op	       1 allocs/op
BenchmarkMarshalMapAny/marshal-20                	 2127076	       579.7 ns/op	     160 B/op	       1 allocs/op
BenchmarkMarshalMapAny/encoding_json-20          	  570384	      2266 ns/op	     736 B/op	      18 allocs/op
BenchmarkMarshalMapAny/encoding_json-20          	  514152	      2247 ns/op	     736 B/op	      18 allocs/op
BenchmarkMarshalMapAny/encoding_json-20          	  812029	      1853 ns/op	     736 B/op	      18 allocs/op
BenchmarkMarshalMapAny/encoding_json-20          	  723711	      2042 ns/op	     736 B/op	      18 allocs/op
BenchmarkMarshalMapAny/encoding_json-20          	  699135	      1888 ns/op	     736 B/op	      18 allocs/op
BenchmarkMarshalMapAny/sonic_json-20             	 1890403	       689.0 ns/op	     278 B/op	       3 allocs/op
BenchmarkMarshalMapAny/sonic_json-20             	 1617693	       738.4 ns/op	     277 B/op	       3 allocs/op
BenchmarkMarshalMapAny/sonic_json-20             	 1398016	       825.9 ns/op	     277 B/op	       3 allocs/op
BenchmarkMarshalMapAny/sonic_json-20             	 1463151	       793.6 ns/op	     276 B/op	       3 allocs/op
BenchmarkMarshalMapAny/sonic_json-20             	 1755961	       700.6 ns/op	     277 B/op	       3 allocs/op
BenchmarkMarshalMapAny/sonic_encode_into-20      	 2285782	       509.2 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapAny/sonic_encode_into-20      	 2601154	       475.5 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapAny/sonic_encode_into-20      	 2210186	       533.6 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapAny/sonic_encode_into-20      	 2094086	       525.0 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapAny/sonic_encode_into-20      	 2373519	       519.6 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalIntSlice/marshal_append-20       	12932772	        90.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalIntSlice/marshal_append-20       	13259944	        90.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalIntSlice/marshal_append-20       	13161626	        92.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalIntSlice/marshal_append-20       	13171864	        90.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalIntSlice/marshal_append-20       	12547087	        89.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalIntSlice/marshal-20              	 6010941	       198.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkMarshalIntSlice/marshal-20              	 7292538	       173.4 ns/op	      80 B/op	       1 allocs/op
BenchmarkMarshalIntSlice/marshal-20              	 5616411	       201.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkMarshalIntSlice/marshal-20              	 6408921	       187.9 ns/op	      80 B/op	       1 allocs/op
BenchmarkMarshalIntSlice/marshal-20              	 6400947	       202.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkMarshalIntSlice/encoding_json-20        	 4228876	       291.8 ns/op	     104 B/op	       2 allocs/op
BenchmarkMarshalIntSlice/encoding_json-20        	 4181007	       304.6 ns/op	     104 B/op	       2 allocs/op
BenchmarkMarshalIntSlice/encoding_json-20        	 3771267	       329.9 ns/op	     104 B/op	       2 allocs/op
BenchmarkMarshalIntSlice/encoding_json-20        	 4397473	       310.1 ns/op	     104 B/op	       2 allocs/op
BenchmarkMarshalIntSlice/encoding_json-20        	 3335566	       335.5 ns/op	     104 B/op	       2 allocs/op
BenchmarkMarshalIntSlice/sonic_json-20           	 4322738	       292.7 ns/op	     127 B/op	       3 allocs/op
BenchmarkMarshalIntSlice/sonic_json-20           	 5053202	       259.9 ns/op	     127 B/op	       3 allocs/op
BenchmarkMarshalIntSlice/sonic_json-20           	 4526979	       273.5 ns/op	     127 B/op	       3 allocs/op
BenchmarkMarshalIntSlice/sonic_json-20           	 4369962	       299.7 ns/op	     127 B/op	       3 allocs/op
BenchmarkMarshalIntSlice/sonic_json-20           	 4163425	       279.1 ns/op	     126 B/op	       3 allocs/op
BenchmarkMarshalIntSlice/sonic_encode_into-20    	 7141731	       168.8 ns/op	      41 B/op	       2 allocs/op
BenchmarkMarshalIntSlice/sonic_encode_into-20    	 7545486	       158.8 ns/op	      41 B/op	       2 allocs/op
BenchmarkMarshalIntSlice/sonic_encode_into-20    	 8362994	       165.8 ns/op	      41 B/op	       2 allocs/op
BenchmarkMarshalIntSlice/sonic_encode_into-20    	 8504554	       161.7 ns/op	      41 B/op	       2 allocs/op
BenchmarkMarshalIntSlice/sonic_encode_into-20    	 7235863	       170.1 ns/op	      41 B/op	       2 allocs/op
BenchmarkMarshalFloat32/marshal_append-20        	29699061	        37.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalFloat32/marshal_append-20        	30413979	        38.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalFloat32/marshal_append-20        	27246915	        38.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalFloat32/marshal_append-20        	30758516	        38.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalFloat32/marshal_append-20        	27196028	        38.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalFloat32/marshal-20               	16578594	        77.62 ns/op	       8 B/op	       1 allocs/op
BenchmarkMarshalFloat32/marshal-20               	16887019	        74.08 ns/op	       8 B/op	       1 allocs/op
