goos: linux
goarch: amd64
pkg: github.com/33TU/json-experiment
cpu: 13th Gen Intel(R) Core(TM) i9-13900H
BenchmarkMarshalMapAny/marshal-20                	 2154074	       544.9 ns/op	     160 B/op	       1 allocs/op
BenchmarkMarshalMapAny/marshal-20                	 2304151	       524.7 ns/op	     160 B/op	       1 allocs/op
BenchmarkMarshalMapAny/marshal-20                	 2181775	       531.5 ns/op	     160 B/op	       1 allocs/op
BenchmarkMarshalMapAny/marshal-20                	 2168346	       567.4 ns/op	     160 B/op	       1 allocs/op
BenchmarkMarshalMapAny/marshal-20                	 2109019	       528.2 ns/op	     160 B/op	       1 allocs/op
BenchmarkMarshalMapAny/encoding_json-20          	  621406	      2155 ns/op	     736 B/op	      18 allocs/op
BenchmarkMarshalMapAny/encoding_json-20          	  520564	      2082 ns/op	     736 B/op	      18 allocs/op
BenchmarkMarshalMapAny/encoding_json-20          	  519787	      2193 ns/op	     736 B/op	      18 allocs/op
BenchmarkMarshalMapAny/encoding_json-20          	  534936	      2159 ns/op	     736 B/op	      18 allocs/op
BenchmarkMarshalMapAny/encoding_json-20          	  574848	      2102 ns/op	     736 B/op	      18 allocs/op
BenchmarkMarshalMapAny/sonic_json-20             	 1883366	       644.4 ns/op	     277 B/op	       3 allocs/op
BenchmarkMarshalMapAny/sonic_json-20             	 1816669	       693.3 ns/op	     276 B/op	       3 allocs/op
BenchmarkMarshalMapAny/sonic_json-20             	 1624144	       692.0 ns/op	     277 B/op	       3 allocs/op
BenchmarkMarshalMapAny/sonic_json-20             	 2161677	       600.1 ns/op	     277 B/op	       3 allocs/op
BenchmarkMarshalMapAny/sonic_json-20             	 1566500	       718.3 ns/op	     276 B/op	       3 allocs/op
BenchmarkMarshalMapAny/sonic_encode_into-20      	 2133975	       564.5 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapAny/sonic_encode_into-20      	 1872499	       603.2 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapAny/sonic_encode_into-20      	 2188644	       547.3 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapAny/sonic_encode_into-20      	 2393800	       505.3 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapAny/sonic_encode_into-20      	 2350675	       553.1 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalIntSlice/marshal_append-20       	12838143	        90.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalIntSlice/marshal_append-20       	12727020	        92.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalIntSlice/marshal_append-20       	11562609	        92.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalIntSlice/marshal_append-20       	13278679	        91.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalIntSlice/marshal_append-20       	13093922	        91.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalIntSlice/marshal-20              	 5830995	       194.1 ns/op	      80 B/op	       1 allocs/op
BenchmarkMarshalIntSlice/marshal-20              	 7362592	       174.4 ns/op	      80 B/op	       1 allocs/op
BenchmarkMarshalIntSlice/marshal-20              	 5626842	       179.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkMarshalIntSlice/marshal-20              	 7301252	       193.1 ns/op	      80 B/op	       1 allocs/op
BenchmarkMarshalIntSlice/marshal-20              	 4707128	       227.4 ns/op	      80 B/op	       1 allocs/op
BenchmarkMarshalIntSlice/encoding_json-20        	 3292542	       370.8 ns/op	     104 B/op	       2 allocs/op
