goos: linux
goarch: amd64
pkg: github.com/33TU/json-experiment
cpu: 13th Gen Intel(R) Core(TM) i9-13900H
BenchmarkMarshalMapInt/marshal_append-20         	 5915502	       202.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapInt/marshal_append-20         	 6001508	       200.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapInt/marshal_append-20         	 5988198	       204.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapInt/marshal_append-20         	 5958411	       202.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapInt/marshal_append-20         	 5525737	       203.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapInt/marshal-20                	 3257158	       364.5 ns/op	     144 B/op	       1 allocs/op
BenchmarkMarshalMapInt/marshal-20                	 3274641	       369.5 ns/op	     144 B/op	       1 allocs/op
BenchmarkMarshalMapInt/marshal-20                	 3923412	       330.0 ns/op	     144 B/op	       1 allocs/op
BenchmarkMarshalMapInt/marshal-20                	 3666416	       353.6 ns/op	     144 B/op	       1 allocs/op
BenchmarkMarshalMapInt/marshal-20                	 3241459	       364.6 ns/op	     144 B/op	       1 allocs/op
BenchmarkMarshalMapInt/encoding_json-20          	  858772	      1393 ns/op	     600 B/op	      16 allocs/op
BenchmarkMarshalMapInt/encoding_json-20          	  850952	      1370 ns/op	     600 B/op	      16 allocs/op
BenchmarkMarshalMapInt/encoding_json-20          	 1000000	      1356 ns/op	     600 B/op	      16 allocs/op
BenchmarkMarshalMapInt/encoding_json-20          	 1000000	      1425 ns/op	     600 B/op	      16 allocs/op
BenchmarkMarshalMapInt/encoding_json-20          	  833886	      1430 ns/op	     600 B/op	      16 allocs/op
BenchmarkMarshalMapInt/sonic_json-20             	 2538690	       481.5 ns/op	     261 B/op	       3 allocs/op
BenchmarkMarshalMapInt/sonic_json-20             	 2503978	       519.0 ns/op	     262 B/op	       3 allocs/op
BenchmarkMarshalMapInt/sonic_json-20             	 2036778	       546.0 ns/op	     261 B/op	       3 allocs/op
BenchmarkMarshalMapInt/sonic_json-20             	 2059173	       585.0 ns/op	     261 B/op	       3 allocs/op
BenchmarkMarshalMapInt/sonic_json-20             	 2128513	       603.3 ns/op	     261 B/op	       3 allocs/op
BenchmarkMarshalMapInt/sonic_encode_into-20      	 2947230	       366.0 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapInt/sonic_encode_into-20      	 3550678	       364.9 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapInt/sonic_encode_into-20      	 3484689	       414.9 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapInt/sonic_encode_into-20      	 2611456	       418.3 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapInt/sonic_encode_into-20      	 3341707	       373.3 ns/op	     112 B/op	       2 allocs/op
BenchmarkMarshalMapIntSlice/marshal_append-20    	 5190032	       229.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapIntSlice/marshal_append-20    	 5060203	       230.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapIntSlice/marshal_append-20    	 5231556	       229.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapIntSlice/marshal_append-20    	 5234554	       229.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapIntSlice/marshal_append-20    	 5121403	       230.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalMapIntSlice/marshal-20           	 2810161	       406.2 ns/op	     160 B/op	       1 allocs/op
BenchmarkMarshalMapIntSlice/marshal-20           	 3061734	       395.2 ns/op	     160 B/op	       1 allocs/op
BenchmarkMarshalMapIntSlice/marshal-20           	 2778219	       443.8 ns/op	     160 B/op	       1 allocs/op
BenchmarkMarshalMapIntSlice/marshal-20           	 2954677	       402.3 ns/op	     160 B/op	       1 allocs/op
BenchmarkMarshalMapIntSlice/marshal-20           	 2767473	       423.8 ns/op	     160 B/op	       1 allocs/op
BenchmarkMarshalMapIntSlice/encoding_json-20     	  658995	      1522 ns/op	     640 B/op	      14 allocs/op
BenchmarkMarshalMapIntSlice/encoding_json-20     	  924442	      1586 ns/op	     640 B/op	      14 allocs/op
BenchmarkMarshalMapIntSlice/encoding_json-20     	  715099	      1629 ns/op	     640 B/op	      14 allocs/op
BenchmarkMarshalMapIntSlice/encoding_json-20     	  921532	      1392 ns/op	     640 B/op	      14 allocs/op
BenchmarkMarshalMapIntSlice/encoding_json-20     	  787874	      1516 ns/op	     640 B/op	      14 allocs/op
BenchmarkMarshalMapIntSlice/sonic_json-20        	 2190045	       516.4 ns/op	     279 B/op	       3 allocs/op
